C, utils, Evtpo, value
   5706.2574121245,               NaN,     -1.6279279378,               NaN
   5717.5549515545,               NaN,     -1.6280842460,******************
   5728.8524909844,               NaN,     -1.6282405542,               NaN
   5740.1500304144,               NaN,     -1.6283968625,******************
   5751.4475698443,               NaN,     -1.6285531707,               NaN
   5762.7451092743,               NaN,     -1.6287094790,******************
   5774.0426487042,               NaN,     -1.6288657873,               NaN
   5785.3401881342,               NaN,     -1.6290220957,******************
   5796.6377275641,               NaN,     -1.6291784040,               NaN
   5807.9352669941,               NaN,     -1.6293347124,******************
   5819.2328064240,               NaN,     -1.6294910207,               NaN
   5830.5303458540,               NaN,     -1.6296473291,******************
   5841.8278852839,               NaN,     -1.6298036376,               NaN
